Pincode,StateName
523253,ANDHRA PRADESH
523224,ANDHRA PRADESH
509129,TELANGANA
751002,ODISHA
504308,TELANGANA
504309,TELANGANA
504346,TELANGANA
504313,TELANGANA
824236,BIHAR
804435,BIHAR
804402,BIHAR
804419,BIHAR
804421,BIHAR
804423,BIHAR
804426,BIHAR
804428,BIHAR
804406,BIHAR
804417,BIHAR
804418,BIHAR
804420,BIHAR
852108,BIHAR
852109,BIHAR
852110,BIHAR
852115,BIHAR
804422,BIHAR
804429,BIHAR
804424,BIHAR
804425,BIHAR
804427,BIHAR
494001,CHHATTISGARH
502291,TELANGANA
500008,TELANGANA
507203,TELANGANA
507160,TELANGANA
533355,ANDHRA PRADESH
534416,ANDHRA PRADESH
522009,ANDHRA PRADESH
505453,TELANGANA
505325,TELANGANA
